Rename,OriginalName
CORE2019MOF11844,LEZJUW_clean
CORE2019MOF11845,LIBHAH_clean
CORE2019MOF11846,LIDSEY01_clean
CORE2019MOF11847,LIFWEE_clean
CORE2019MOF11848,LUKLIN_clean
CORE2019MOF11849,MIBQAR16_clean
CORE2019MOF11850,MIVFUU_clean
CORE2019MOF11851,MIXYOJ_clean
CORE2019MOF11852,MIZPUI_clean
CORE2019MOF11853,MOBBAI_clean
CORE2019MOF11854,MODNIC_clean
CORE2019MOF11855,MOYZIK_clean
CORE2019MOF11856,MUMLOX_clean
CORE2019MOF11857,MUZKEZ_clean
CORE2019MOF11858,NACZUP01_clean
CORE2019MOF11859,NACZUP03_clean
CORE2019MOF11860,NACZUP_clean
CORE2019MOF11861,NATHOI_clean
CORE2019MOF11862,NENHEU_clean
CORE2019MOF11863,NIMQAD_clean
CORE2019MOF11864,NIMQEH_clean
CORE2019MOF11865,NIRDOI_clean
CORE2019MOF11866,NOBWEI_clean
CORE2019MOF11867,NUTQEZ_clean
CORE2019MOF11868,NUTYOS_clean
CORE2019MOF11869,NUVWIL_clean
CORE2019MOF11870,OFODAP_clean
CORE2019MOF11871,OFORUX_clean
CORE2019MOF11872,OHOLIH_clean
CORE2019MOF11873,OJOSEN_clean
CORE2019MOF11874,OJOSIR_clean
CORE2019MOF11875,OJUNIS_clean
CORE2019MOF11876,OJUPIU_clean
CORE2019MOF11877,OKIZIT_clean
CORE2019MOF11878,OKUJOV_clean
CORE2019MOF11879,OLOGAY_clean
CORE2019MOF11880,OLOPIQ_clean
CORE2019MOF11881,OMOWEU_clean
CORE2019MOF11882,OMUHUB_clean
CORE2019MOF11883,OTOYUT_clean
CORE2019MOF11884,OTOZEE_clean
CORE2019MOF11885,OVUNIE_clean
CORE2019MOF11886,PEQTUB_clean
CORE2019MOF11887,PETWES_clean
CORE2019MOF11888,PETWIW_clean
CORE2019MOF11889,PIDNEX_clean
CORE2019MOF11890,PUWCEP_charged
CORE2019MOF11891,QAHDOU_clean
CORE2019MOF11892,QAJJOD_clean
CORE2019MOF11893,QIFLIC_clean
CORE2019MOF11894,QUNMUI_clean
CORE2019MOF11895,QUQHEQ_clean
CORE2019MOF11896,QUQPIC_clean
CORE2019MOF11897,RACZIG_clean
CORE2019MOF11898,RAHNUL_clean
CORE2019MOF11899,RELLAW_clean
CORE2019MOF11900,ROKROA_clean
CORE2019MOF11901,RUBLUX_clean
